"navn","type","egenvekt","A_profil","b","d","Iy_profil","Iz_profil","Ieta_profil","Wyp","Wzp","It_profil","Cw_profil","noytralakse","toppmaal","stigning","d_h","d_b","k_g","k_d","b_f","A_ref","A_ref_par","h_max"
"B2","B",360,1700,,120,3640000,432000,,72600,,41500,900000000,16,150,0.014,10,50,,,55,0.12,,8
"B3","B",510,2040,,140,6050000,627000,,103000,,56800,1800000000,17.5,255,0.023,10,50,,,60,0.14,,9.5
"B4","B",560,2400,,160,9250000,853000,,138000,,73900,3260000000,18.4,255,0.023,10,60,,,65,0.16,,11
"B6","B",700,3220,,200,19100000,1480000,,228000,,119000,9070000000,20.1,255,0.023,12,100,,,75,0.2,,13
"H3","H",520,1150,,,589000,,244000,,,,,21.69,200,0.02,50,10,0.85,0.55,75,0.2,,13
"H5","H",620,1410,,,714000,,297000,,,,,22.41,200,0.02,50,10,0.85,0.55,75,0.2,,13
"H6","H",620,1410,,,714000,,297000,,,,,22.41,200,0.02,60,60,0.85,0.55,75,0.2,,13
"HE200B","bjelke",613,7810,200,,57000000,20000000,,642000,300000,595000,171000000000,,,,,,,,,0.2,,9.5
"HE220B","bjelke",715,9100,220,,80900000,28400000,,828000,387000,768000,295000000000,,,,,,,,,0.22,,11
"HE240B","bjelke",832,10600,240,,113000000,39200000,,1050000,490000,1030000,487000000000,,,,,,,,,0.24,,12
"HE260B","bjelke",930,11800,260,,149000000,51300000,,1280000,592000,1240000,754000000000,,,,,,,,,0.26,,13
"HE280B","bjelke",1030,13100,280,,193000000,65900000,,1530000,706000,1440000,1130000000000,,,,,,,,,0.28,,13
"HE260M","bjelke",1720,22000,290,268,313000000,200000000,,2520000,1170000,7220000,1730000000000,,,,,,,,,0.268,0.29,13
